,area,begin-area,country,disambiguation,end-area,gender,id,ipi,ipi-list,isni-list,life-span,name,sort-name,type
46,"{'sort-name': 'Ukraine', 'id': '904768d0-61ca-3c40-93ac-93adc36fef4b', 'name': 'Ukraine', 'iso-3166-1-code-list': ['UA']}",,UA,,,,18eefb0f-7f1c-4ca4-a9b1-d0f2f11bd6b1,,,,"{'ended': 'true', 'begin': '1998', 'end': '2008-06-08'}",5'nizza,5'nizza,Group
47,"{'sort-name': 'Germany', 'id': '85752fda-13c4-31a3-bee5-0e5cb1f51dad', 'name': 'Germany', 'iso-3166-1-code-list': ['DE']}","{'sort-name': 'Esslingen am Neckar', 'id': '6738a4f0-effa-4da5-aaf5-4df8c4845644', 'name': 'Esslingen am Neckar'}",DE,,,,32567eb3-aeca-467f-8b89-a69b11fcb781,,,['0000000114810838'],{'begin': '1997'},Primal Fear,Primal Fear,Group
48,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'Edinburgh', 'iso-3166-2-code-list': ['GB-EDH'], 'id': '6658f787-692d-417f-852c-dcca728d5849', 'name': 'Edinburgh'}",GB,,,,0d82f0cd-107a-403f-a726-ac7287cbea65,,,['0000000110935051'],"{'ended': 'true', 'begin': '1997', 'end': '2004'}",The Beta Band,"Beta Band, The",Group
49,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}",,GB,,,,6b66dd3a-d88b-4732-bc13-359d8964b7f2,,,,{'begin': '1997'},The Clientele,"Clientele, The",Group
50,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'Swansea', 'iso-3166-2-code-list': ['GB-SWA'], 'id': 'f449c819-0a9b-4c08-9446-6e7d5bd48d08', 'name': 'Swansea'}",GB,"Progressive Breakbeat group from Swansea, South Wales",,,9f2524e1-cda1-4304-941e-ebb448d32a16,,,,{'begin': '1993'},Hybrid,Hybrid,Group
51,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'St. Louis', 'id': '759f9567-9107-40ef-a825-e57824a62e70', 'name': 'St. Louis'}",US,,,,e2c3c508-f0ab-49af-92c9-a81d66d67405,,,,{'begin': '2000'},Story of the Year,Story of the Year,Group
52,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Rockville', 'id': '34b6f359-c7fb-489d-a1d2-198f8654a32e', 'name': 'Rockville'}",US,EDM producer Brian Wayne Transeau,,Male,88e2147d-0332-46f6-85b2-b5f463ba957b,,,['000000011848315X'],{'begin': '1971-10-04'},BT,BT,Person
53,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Santa Monica', 'id': 'dbacf2e3-7e3e-4cee-8804-999b109285fa', 'name': 'Santa Monica'}",US,,,,c48d4327-8122-4286-af66-05e1ee6ac4d8,,,['0000000110910727'],{'begin': '1989'},Mazzy Star,Mazzy Star,Group
54,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Nutbush', 'id': 'cb5e5d19-3b62-4040-b048-f8c23838486b', 'name': 'Nutbush'}",US,,,Female,9072df14-b61e-42e2-b4f4-6bbb7fdb5586,,,['0000000120286171'],{'begin': '1939-11-26'},Tina Turner,"Turner, Tina",Person
55,"{'sort-name': 'Canada', 'id': '71bbafaa-e825-3e15-8ca9-017dcad1748b', 'name': 'Canada', 'iso-3166-1-code-list': ['CA']}","{'sort-name': 'Victoria', 'id': 'c5446ccc-24aa-4110-8130-38c97b5d83da', 'name': 'Victoria'}",CA,,,Female,13655113-cd16-4b43-9dca-cadbbf26ee05,00292664437,['00292664437'],"['0000000115114746', '0000000374311138']",{'begin': '1978-12-02'},Nelly Furtado,"Furtado, Nelly",Person
56,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'Davyhulme', 'id': 'a5f72285-d922-499c-b024-523ea8a275ab', 'name': 'Davyhulme'}",GB,UK singer; vocalist of The Smiths,,Male,013fa897-86db-41d3-8e9f-386c8a34f4e6,00121718010,['00121718010'],"['0000000107964011', '0000000108035396']",{'begin': '1959-05-22'},Morrissey,Morrissey,Person
